Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	Nucleus: Area	Nucleus: Perimeter	Nucleus: Circularity	Nucleus: Max caliper	Nucleus: Min caliper	Nucleus: Eccentricity	Nucleus: Red mean	Nucleus: Red sum	Nucleus: Red std dev	Nucleus: Red max	Nucleus: Red min	Nucleus: Red range	Nucleus: Green mean	Nucleus: Green sum	Nucleus: Green std dev	Nucleus: Green max	Nucleus: Green min	Nucleus: Green range	Nucleus: Blue mean	Nucleus: Blue sum	Nucleus: Blue std dev	Nucleus: Blue max	Nucleus: Blue min	Nucleus: Blue range	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: Red mean	Cell: Red std dev	Cell: Red max	Cell: Red min	Cell: Green mean	Cell: Green std dev	Cell: Green max	Cell: Green min	Cell: Blue mean	Cell: Blue std dev	Cell: Blue max	Cell: Blue min	Cytoplasm: Red mean	Cytoplasm: Red std dev	Cytoplasm: Red max	Cytoplasm: Red min	Cytoplasm: Green mean	Cytoplasm: Green std dev	Cytoplasm: Green max	Cytoplasm: Green min	Cytoplasm: Blue mean	Cytoplasm: Blue std dev	Cytoplasm: Blue max	Cytoplasm: Blue min	Nucleus/Cell area ratio
CMU-2.svs	6e96e585-2f44-44d2-b0e4-214a96cfaa1f	Cell			Annotation (ROI)	Polygon	8795.4	7533.7	22	24.2599	0.4697	8.2976	4.7287	0.8688	215	19350	20.9515	253	149	104	173	15570	27.0688	237	117	120	197.7	17793	15.0896	239	157	82	65.75	39.8211	0.521	15.0174	8.7899	0.8295	199.6617	24.0781	253	139	148.3717	31.6319	237	68	183.316	20.112	239	125	191.9497	21.7863	242	139	135.9888	26.0624	208	68	176.0838	18.3835	225	125	0.3164
CMU-2.svs	438e2f9c-a8bf-4786-a13c-eadf4239da32	Cell			Annotation (ROI)	Polygon	8457.8	7531.6	13	17.1219	0.5572	7.6565	2.3316	0.9439	223.4211	12735	15.4052	255	194	61	172.807	9850	25.4147	239	126	113	200.1754	11410	18.5377	248	165	83	130.25	45.068	0.8058	17.6949	9.3026	0.8581	176.8514	44.091	255	29	112.1714	39.6095	239	10	154.4114	30.9824	248	67	171.1795	43.08	251	29	104.7863	34.3444	224	10	148.8376	27.3697	235	67	0.1007
CMU-2.svs	081d621d-5f48-4fa8-b76e-9db4175de6bb	Cell			Annotation (ROI)	Polygon	8683.3	7533.5	9.75	11.0769	0.9986	3.6872	3.4095	0.3641	220.8537	9055	17.794	253	185	68	157.3659	6452	37.3368	239	102	137	187.3171	7680	26.9179	245	137	108	39.5	27.9855	0.6338	10.8189	4.7219	0.924	194.4691	27.78	253	114	122.1728	34.5762	239	68	161.537	26.4493	245	114	185.5289	24.7269	242	114	110.2479	23.9319	191	68	152.8017	19.8253	208	114	0.2189
CMU-2.svs	efe8f21e-3c3e-4d00-897b-4ca3774e43ae	Cell			Annotation (ROI)	Polygon	8394.5	7536.3	10.5	14.5562	0.6227	5.5909	2.8131	0.8906	211.5455	9308	20.2536	255	153	102	155.75	6853	21.2111	205	104	101	184.3182	8110	17.2906	217	141	76	66.5	32.8119	0.7762	11.8802	8.3947	0.6672	160.5757	48.1444	255	44	112.2731	39.2078	205	26	155.3911	27.7356	217	93	150.696	45.6867	251	44	103.8458	36.2159	205	26	149.7841	25.8391	217	93	0.1581
CMU-2.svs	809efc1e-9169-461b-900f-15a9186d3f3e	Cell			Annotation (ROI)	Polygon	8533.3	7536.8	22.25	20.6339	0.6567	8.604	3.3674	0.9236	227.978	20746	17.4139	253	190	63	207.7802	18908	32.2855	252	146	106	220.9341	20105	20.8699	252	182	70	202	51.9614	0.9402	18.6121	13.2899	0.7033	167.3288	45.7143	253	24	124.1088	45.6027	252	13	163.3214	33.9675	252	71	159.6421	42.3196	234	24	113.5042	34.8073	184	13	156.0195	27.765	208	71	0.107
CMU-2.svs	134fbd30-2517-4bcd-87d8-dc09328ff389	Cell			Annotation (ROI)	Polygon	8614.4	7537.7	19.5	23.828	0.4316	10.8633	2.4106	0.978	221.2222	17919	30.5671	255	128	127	199.8148	16185	41.1154	255	118	137	216.716	17554	25.3979	255	154	101	126.5	45.3246	0.7738	18.6184	9.6123	0.867	164.6909	56.1081	255	2	124.8327	56.051	255	0	162.0807	43.0901	255	17	153.9672	53.3697	248	2	110.6089	46.366	230	0	151.7166	37.5955	231	17	0.1538
CMU-2.svs	82785204-d8bd-44db-81f2-3459d8033334	Cell			Annotation (ROI)	Polygon	8729.1	7535.4	14	19.661	0.4551	8.601	2.7195	0.9647	224.3387	13909	12.6179	248	190	58	121.7903	7551	17.137	176	81	95	160.371	9943	13.0186	194	128	66	69.75	33.0333	0.8032	13.0325	8.1657	0.7668	191.1095	28.4326	248	114	102.3145	23.3728	176	40	144.2049	21.3189	197	92	181.7873	24.3642	241	114	96.8507	21.9529	172	40	139.6697	21.0066	197	92	0.203
CMU-2.svs	aaa4ef1b-e0ff-47b1-9ea4-73423eb52b2b	Cell			Annotation (ROI)	Polygon	8735	7542	35	34.0987	0.3783	14.5649	3.74	0.9805	224.2617	33415	19.5581	255	161	94	132.9799	19814	34.9292	226	78	148	165.9396	24725	27.6577	235	120	115	97.75	46.5778	0.5662	20.3365	7.1271	0.947	203.1494	24.4575	255	140	102.3089	35.8427	226	46	141.1975	30.819	235	86	190.3618	17.1934	248	140	83.7317	20.2578	166	46	126.2114	21.6232	214	86	0.3655
CMU-2.svs	2532d969-edc0-4972-a51d-89e0d0aeb928	Cell			Annotation (ROI)	Polygon	8431	7536.1	19	17.7417	0.7585	6.6559	3.9047	0.8035	230.7308	17997	21.8333	255	158	97	212.4872	16574	33.4799	255	115	140	223.2308	17412	24.2229	255	147	108	105.5	42.7988	0.7238	16.5399	7.4936	0.9059	177.3915	48.373	255	48	136.6368	58.0675	255	31	171.5708	41.1121	255	90	165.3671	44.4336	254	48	119.5376	47.8541	251	31	159.9249	34.6698	254	90	0.1686
CMU-2.svs	dff7b516-031d-4691-b974-a31de5ad3ef2	Cell			Annotation (ROI)	Polygon	8409.6	7538.6	29.5	25.9682	0.5497	10.6676	4.5122	0.9329	226.75	27210	18.8974	255	158	97	198.3333	23800	26.9173	253	122	131	213.1	25572	19.344	251	155	96	151.75	52.6889	0.6869	17.6795	14.4285	0.5672	157.2319	61.433	255	6	120.3207	59.3519	253	1	158.7385	45.4194	251	51	140.1373	55.9736	249	6	101.1373	48.4276	213	1	145.3709	39.6557	238	51	0.1867
CMU-2.svs	208e0148-31cd-47ce-b543-4eb4885f1fdb	Cell			Annotation (ROI)	Polygon	8703.6	7540.1	10.5	14.4249	0.6341	5.2743	3.3332	0.7599	223.5217	10282	22.2967	255	174	81	174.4348	8024	33.2209	241	110	131	202.3913	9310	23.7632	245	148	97	60.5	29.8877	0.8511	10.6008	7.6485	0.7355	195.4204	30.2881	255	116	121.6449	36.8544	241	62	160.6082	30.0638	245	113	188.9246	28.136	250	116	109.4422	25.0177	186	62	150.9498	22.0481	213	113	0.1756
CMU-2.svs	9cf50f57-d2ca-4cca-a483-5676f24d0b3a	Cell			Annotation (ROI)	Polygon	8458.8	7541.6	19.25	25.8072	0.3632	11.9981	2.6366	0.9805	225.358	18254	21.8542	255	168	87	198.9259	16113	38.2367	255	120	135	217.1235	17587	27.2229	255	151	104	179.5	54.9665	0.7466	21.8826	11.3137	0.8852	164.251	50.6424	255	23	120.2136	51.5234	255	15	160.7087	39.1937	255	65	156.5172	47.9241	254	23	110.2516	43.8562	233	15	153.5688	34.4035	241	65	0.107
CMU-2.svs	4d2cea7f-74f6-440e-9eee-028383a7a500	Cell			Annotation (ROI)	Polygon	8685.8	7537.4	11.75	13.8803	0.7664	5.0478	3.4959	0.4564	221.2076	11724	10.851	251	197	54	150.5094	7977	15.0992	182	115	67	181.4717	9618	14.1089	206	149	57	43	26.9321	0.745	10.1649	5.5238	0.8611	203.3164	22.429	252	139	126.9887	27.7224	196	65	164.548	22.5744	206	113	195.6694	21.7524	252	139	116.9355	25.7495	196	65	157.3145	21.6534	204	113	0.2611
CMU-2.svs	40c951d4-4bc9-4978-b593-3a4fae85a079	Cell			Annotation (ROI)	Polygon	8695.5	7539.3	10.75	16.9042	0.4727	5.3374	4.4247	0.4445	219.766	10329	28.6381	255	155	100	167	7849	44.5182	254	86	168	190.4468	8951	34.3801	248	127	121	44.75	27.03	0.7697	10.5098	6.5032	0.7729	195.2312	33.7797	255	127	128.4677	44.313	254	58	165.043	34.2138	248	106	186.9353	31.3365	254	127	115.4389	35.9881	231	58	156.4532	29.6841	238	106	0.2365
CMU-2.svs	856e598f-506c-4849-a1b6-8c80d876b2b1	Cell			Annotation (ROI)	Polygon	8801.6	7539.2	15.75	17.6707	0.6338	6.639	3.3985	0.8814	227.2429	15907	13.1837	252	190	62	205.0571	14354	19.6534	251	156	95	218.8143	15317	14.7573	245	182	63	61.75	30.6861	0.8241	11.1504	8.6521	0.5846	196.5714	31.6472	252	86	158.9286	39.013	251	58	189.5437	25.8075	245	107	184.7747	28.6159	247	86	141.1868	28.7046	207	58	178.2857	19.5396	230	107	0.2653
CMU-2.svs	a4a423ca-bbc3-43c6-9f15-b1d6a4709d94	Cell			Annotation (ROI)	Polygon	8786.2	7540.5	9.5	13.335	0.6713	5.7283	2.2297	0.9121	221.2927	9073	13.8785	252	200	52	181.8537	7456	18.3937	216	142	74	203.2927	8335	18.1042	229	157	72	97.75	37.7118	0.8637	14.1161	8.4813	0.8045	196.5609	25.4159	253	132	137.3655	36.7179	246	63	173.0406	26.4383	235	109	193.6884	24.8958	253	132	132.1983	34.7776	246	63	169.5269	24.9835	235	109	0.0855
CMU-2.svs	50fc0b06-a88c-43d4-a4b0-21b67aa0ee20	Cell			Annotation (ROI)	Polygon	8501.6	7539.6	14.25	13.8642	0.9316	4.8373	3.7239	0.614	201.8	12108	30.0005	255	141	114	159.0667	9544	43.7868	244	96	148	190.3167	11419	31.0672	247	138	109	161	45.5336	0.9758	14.9066	13.6205	0.3035	130.5379	44.9392	255	39	84.711	38.1964	244	24	133.6522	30.0341	247	79	123.2538	39.5295	214	39	77.1107	28.1312	149	24	127.8603	23.1272	188	79	0.0822
