umap_x	umap_y	Centroid X µm	Centroid Y µm	Combined_Cluster
-24385.67696385015	459.55616277754507	8432.7	7567.5	Stroma
-13178.27314269849	-1985.8018183103527	8489.7	7563.8	Immune
-4738.749519558645	-2163.3266184370177	8404.1	7563.9	Stroma
-8032.308725781597	-1877.5719222077762	8421.7	7565.1	Stroma
51719.639936276464	-3583.2051444591284	8526.8	7565.2	Stroma
1639.132180702305	3831.3137103808967	8741.0	7567.7	Stroma
12037.052150199968	-1971.9879089195208	8542.8	7564.6	Stroma
24079.03675529603	-1771.8682075018405	8505.9	7568.3	Stroma
10191.080237779934	-3058.694957414659	8535.1	7565.9	Stroma
-10475.143227380315	-1340.9943706557779	8703.0	7566.5	Stroma
-3403.269143340789	-2150.702288189176	8550.5	7566.3	Stroma
38487.84596914881	-1581.4315353495497	8490.0	7573.3	Stroma
9447.550830885142	-2137.505890677989	8647.0	7569.3	Stroma
13108.137209833709	-206.96888520046127	8668.7	7571.5	Stroma
2469.0073887617255	737.8723757705716	8709.2	7567.9	Stroma
25032.934574276238	-2403.094941653737	8658.6	7570.4	Stroma
-15055.24935197347	-2219.7652706911595	8518.2	7571.3	Stroma
89869.56495911235	-1980.6414400595813	8563.9	7574.5	Immune
-18834.58031174146	-1385.984503851355	8397.6	7568.9	Immune
-17960.27586081637	1538.9547546401514	8697.2	7572.0	Stroma
-17882.704236632635	-665.3892217694745	8732.2	7569.5	Stroma
-14118.977131992426	612.839560021157	8417.0	7571.5	Stroma
10693.938275608118	-1463.229063074737	8476.9	7572.8	Stroma
-13381.34919837278	812.8310765090473	8721.3	7572.7	Stroma
17213.10335159194	-2604.7135495806774	8579.2	7574.4	Stroma
131124.19156413118	-3062.8794468295996	8538.7	7577.2	Immune
-1456.8953786928687	-2426.910168983717	8397.0	7575.6	Stroma
-6780.887592121893	312.9395699128381	8712.4	7576.1	Stroma
13904.039048639403	2467.196479380087	8417.7	7580.3	Stroma
12862.02294290495	9922.60559285445	8426.5	7582.7	Immune
20558.753957646135	-1724.635736417095	8590.8	7580.7	Stroma
-1168.4652477028212	548.2796067429317	8732.8	7578.0	Stroma
18764.437885840336	-1511.1508440788975	8643.8	7579.2	Stroma
386.24254190515785	3380.8744709049215	8765.2	7580.6	Stroma
13005.095766967454	-138.98423125684462	8706.4	7582.6	Stroma
-21115.257782729514	690.7390891250379	8678.3	7578.9	Stroma
-20410.275074421515	-1477.7603136088533	8657.0	7579.0	Stroma
-15905.234245778076	2398.869952822789	8684.7	7581.7	Stroma
-21287.158019695842	1170.4509235279038	8698.8	7581.4	Stroma
1940.1015878282342	-1284.4908901812487	8664.7	7583.3	Stroma
-8741.001978968787	-665.7407668326687	8724.3	7583.6	Stroma
-432.4543695915927	-1524.5237128164813	8393.5	7586.2	Immune
21116.87066327576	-2332.85048597808	8404.1	7585.5	Stroma
4756.815694035504	-692.1456101836523	8517.3	7585.4	Stroma
3085.9575483837034	-1959.5326158684218	8651.4	7586.8	Stroma
-9430.300869772018	-1742.68045508901	8548.0	7583.8	Stroma
-24152.031394893915	-1723.3950057391974	8791.4	7582.9	Stroma
20882.032496037027	-2661.303979981707	8633.9	7586.3	Stroma
-18798.665602034725	441.6233612391229	8673.2	7585.4	Stroma
20335.481524229137	157.54348019226427	8695.4	7590.9	Stroma
-16396.99096154415	-992.3061036194317	8772.2	7587.6	Stroma
8020.09508602156	7593.561847595143	8715.0	7589.6	Stroma
21870.376324825884	-1751.9277301146637	8534.5	7589.9	Stroma
15603.044774196635	-489.5360394918953	8559.3	7589.7	Stroma
-24170.428215156062	-1066.6881707088514	8720.3	7588.6	Stroma
-13735.508649014231	-976.0171805023665	8569.2	7587.5	Stroma
-16150.739723271821	-1255.2543551643657	8488.7	7592.2	Stroma
-14584.450347465601	146.53185381520825	8731.9	7592.4	Stroma
-8270.077835915934	322.1472511467887	8790.8	7593.6	Stroma
1808.92264481631	-1959.9360217099481	8630.0	7593.6	Stroma
-2123.5894466305544	-1844.6389216459183	8670.4	7593.5	Stroma
-17188.18145535115	-850.8304713359346	8709.5	7593.3	Stroma
13927.665942808657	-2463.477716040683	8578.1	7593.5	Stroma
-10729.645221488085	1302.7441968081457	8703.8	7593.0	Stroma
-20816.150936560673	2118.57481043828	8418.5	7593.3	Immune
-7263.666938058901	1346.0484432386988	8724.3	7595.2	Stroma
-5012.739712163828	1580.3848040458797	8685.0	7597.6	Stroma
-18696.054676775606	98.57054940521994	8544.2	7595.2	Immune
10300.449469691222	-2734.286389953685	8622.1	7597.2	Stroma
-19860.47027219379	-1299.7887837703624	8552.0	7599.7	Immune
-6826.143269421747	5084.088395008362	8417.1	7601.8	Immune
-18192.972087586604	-1991.4936002022014	8394.9	7599.2	Stroma
-19740.80885309619	-1291.4879476620818	8408.3	7599.2	Immune
16195.65954819502	-961.7711875573646	8674.8	7602.8	Stroma
-19205.801179668328	1215.9220832468204	8692.3	7599.7	Stroma
-20136.574039814106	-2022.9365599453013	8665.2	7602.2	Stroma
-19143.14306546702	-1375.6066245392951	8706.1	7601.5	Stroma
10548.976386106573	809.7320178486934	8713.9	7603.2	Stroma
-11649.18496975745	594.7148960843383	8740.6	7600.1	Immune
19797.79328101241	-725.0705586855465	8644.8	7602.5	Stroma
-13689.7296298351	-1937.19629888372	8618.0	7604.6	Stroma
-11646.328785229234	-292.6402995900205	8724.0	7604.0	Stroma
37279.63808745114	-2879.4428283960183	8529.4	7604.7	Stroma
2641.833568493341	-643.0456506330456	8607.5	7605.1	Stroma
2939.636931377281	-1685.6341857553116	8496.2	7605.3	Stroma
3443.5753536773336	-1454.183226195531	8516.7	7604.4	Stroma
-18562.72113648958	1732.8918864318848	8695.2	7606.6	Stroma
-21483.710650026755	75.39937252195932	8733.1	7604.3	Immune
28051.234282159494	-14.720843287023854	8588.1	7606.9	Stroma
-23161.016671585683	-1031.611095028988	8701.7	7608.7	Stroma
162228.62382874556	-3160.6187907339818	8550.9	7607.9	Immune
12608.59506056564	1282.9408022494708	8655.6	7610.6	Stroma
-12929.766349373054	-499.0579024622432	8718.6	7608.2	Stroma
-23198.6172471784	-755.7204396828088	8746.5	7605.5	Stroma
173973.10752575623	4291.076942765502	8406.4	7619.8	Immune
-2.302526567495079	-1137.933992613786	8709.0	7611.3	Stroma
-15771.833217710537	-2130.432867022558	8679.8	7608.9	Stroma
-20009.698817739034	270.0296864762472	8687.0	7612.1	Stroma
19661.585846231173	-1336.7277288479274	8636.5	7611.4	Stroma
-20075.39325625634	-1192.735603019323	8736.5	7611.9	Stroma
-25922.400040736546	244.2289797811436	8697.9	7614.7	Stroma
12875.14693420595	-416.7408094189441	8567.0	7614.1	Stroma
-20906.921213055226	-1649.7499621444103	8728.8	7612.0	Stroma
-14277.999536732405	-1087.581973728853	8521.5	7612.6	Immune
-7775.734984097169	838.1778740180898	8745.9	7615.2	Stroma
15029.757701915303	-1650.910366265628	8484.9	7615.6	Stroma
6902.504300218236	-1066.7094273189978	8683.8	7620.2	Stroma
-12084.323407462009	-790.4019119302491	8589.2	7617.3	Stroma
-11522.98026905294	-768.657542147454	8718.9	7616.1	Stroma
-14946.728879164395	-2055.4902658315586	8514.6	7615.6	Immune
-1077.2884706654368	3228.252507475775	8694.0	7620.5	Stroma
5719.612373007869	1986.8123304357132	8626.7	7618.3	Stroma
-1263.9831456105676	-206.95899867112007	8726.8	7619.8	Stroma
6785.264659708424	-1159.2731159179543	8505.4	7619.5	Stroma
-15997.017650828926	833.0012195186391	8527.8	7618.0	Immune
-23153.55327221519	-1461.268649638348	8735.7	7619.6	Stroma
-19793.269426156177	908.5317661392705	8708.5	7621.8	Stroma
5252.871103327576	4607.995860658219	8748.6	7626.2	Stroma
-3875.548976912374	-1429.1181188497228	8648.7	7626.6	Stroma
69775.32121255435	-2740.6967912663004	8533.6	7625.2	Stroma
-9233.31731913595	90.65934933979997	8761.4	7623.3	Stroma
105990.01398456916	-921.7879064215495	8452.8	7631.5	Immune
55106.90240634329	10248.746084311866	8775.2	7629.5	Immune
77920.37120953489	-3211.48044752261	8666.7	7630.0	Immune
8124.914202127795	-800.8594640715735	8474.4	7631.7	Stroma
-19545.220965771394	1080.3703664349077	8719.6	7627.8	Stroma
-24341.694555901155	-930.0898282089126	8553.3	7625.8	Stroma
108483.8152874637	1199.1444710078254	8679.1	7641.6	Immune
-8426.900000332931	2201.5372690534286	8698.3	7630.2	Stroma
-9709.171427084577	2507.448346799304	8730.6	7630.6	Stroma
-8419.420820131723	569.3484347473591	8396.5	7633.7	Stroma
44766.558794805984	-746.9864792296194	8514.6	7634.7	Stroma
38883.61412539487	-2588.1044537724983	8545.9	7633.0	Stroma
-25307.48063144355	-49.7165392840368	8754.3	7633.0	Stroma
-10358.741710189392	1463.2924111029793	8762.1	7631.4	Stroma
-18034.301904327272	-597.3878371657788	8712.5	7632.2	Stroma
39022.295180466	-3128.955200345975	8527.6	7634.4	Stroma
-20772.951781212032	-1091.184691357263	8602.2	7630.5	Stroma
8838.896765198551	-1467.9791182370152	8640.7	7634.3	Stroma
76055.63927794312	-178.11527635196148	8566.6	7632.0	Immune
-22364.58325679513	-140.7342582952292	8690.9	7633.9	Stroma
-9589.149363478478	-1484.3435151308431	8401.5	7640.0	Immune
-13296.731548118878	-2209.9529006657644	8535.0	7638.6	Immune
65858.21344437852	-2947.404341221514	8617.9	7635.8	Stroma
-25716.501038395847	-373.4852970807365	8760.6	7636.7	Stroma
-19131.271827997898	-619.5580093381996	8700.1	7642.0	Stroma
-20923.14308484027	-1911.7975765177757	8582.0	7636.4	Stroma
-10905.920087547096	-1474.7661883947262	8591.1	7637.3	Stroma
18852.75289407301	-2234.681404214408	8632.4	7639.2	Stroma
7661.483258067761	-2198.5810206967694	8603.8	7641.0	Stroma
-8148.333797330812	-2177.7033021957836	8541.2	7641.6	Stroma
-10698.413384695468	-1433.9599599899802	8561.1	7639.8	Stroma
-16772.614062826404	335.78673067575846	8723.9	7640.0	Stroma
45816.55624784819	-1949.825502786059	8575.4	7643.1	Stroma
28156.93817096665	2688.8172795690443	8690.1	7645.1	Stroma
-18659.92369261003	584.2555142435276	8767.0	7640.4	Stroma
-21743.78784159355	-1377.4897901008544	8710.8	7641.8	Stroma
-21124.009820738265	50.14016031497522	8754.0	7642.6	Stroma
29961.814622423888	1843.346667384766	8407.0	7648.4	Stroma
-24366.223978150534	-1208.784319570923	8777.2	7642.1	Stroma
-776.3160885408797	-1783.1576049526157	8649.3	7643.3	Immune
-13572.1034165864	-1603.4171559125652	8516.7	7645.1	Stroma
-4251.863458327694	-884.8741394612102	8616.5	7645.4	Immune
3346.751559216442	2355.8045057565705	8769.9	7647.4	Stroma
-26260.67554357201	219.48875758369604	8785.6	7642.9	Stroma
12987.637571589075	-1929.2992636493423	8666.3	7643.5	Stroma
11447.67880866686	-1228.4752854493252	8432.1	7645.7	Stroma
79999.94363016315	-2145.414469260275	8553.3	7649.6	Immune
-23664.0417718089	-985.2407061810279	8566.2	7646.6	Stroma
-15628.059998874789	-364.3069610803011	8630.9	7646.2	Stroma
-9178.618818315063	-1136.6226712537527	8504.3	7645.8	Stroma
-4536.130976542838	-1605.751688061955	8589.8	7646.2	Stroma
-22249.76666806924	-1407.1930231581289	8715.8	7649.7	Stroma
-106.51509210185759	1329.9484429485988	8757.2	7650.2	Stroma
17455.08195342838	-2461.7611390331153	8658.8	7650.8	Stroma
-16201.889886615136	-1197.4380143950093	8420.5	7650.3	Immune
7036.308474997575	-1349.9447542264547	8443.2	7651.2	Stroma
36400.394598564875	-1356.7775995939996	8463.4	7655.1	Stroma
86299.89919403072	-1361.96031863832	8621.0	7654.0	Immune
-14937.553258015465	-1053.8059416110339	8506.6	7654.6	Stroma
74709.99184194696	-1583.0385392459507	8776.8	7656.0	Immune
-22153.192042675226	-1297.2158278407137	8606.5	7650.2	Immune
-2843.371410759566	-969.7508458410921	8573.8	7652.4	Stroma
-18678.508224425106	-1636.9474999186064	8634.3	7650.8	Immune
25577.853542788034	-2078.9094643250987	8497.4	7654.9	Stroma
-13094.855174889522	-2020.4494756753797	8590.7	7652.1	Stroma
-1767.0804430136996	-1557.4621968123893	8692.4	7654.8	Stroma
80838.94350371587	-3718.0190661773063	8803.4	7655.6	Immune
4764.493489600471	-2067.459337595608	8453.5	7652.8	Stroma
-17908.62660094165	-1448.0677526726054	8516.2	7653.9	Stroma
80159.41886516576	1953.333357810981	8601.8	7658.4	Immune
-234.86718778400973	-1886.034415597143	8564.7	7658.3	Stroma
-25651.111158485168	-507.161680625426	8683.5	7653.9	Stroma
-11218.884200643472	-1422.6044243114006	8638.8	7655.4	Stroma
-972.0108981394151	-1428.7711149068964	8734.2	7656.8	Stroma
-22926.68560663978	-2012.709079242267	8537.9	7657.9	Stroma
-9565.357577854029	-1754.6195056096599	8744.0	7658.1	Stroma
-1287.22278453537	-2040.4292925330085	8424.1	7660.3	Immune
-17793.318136607442	656.9922471912478	8756.6	7658.4	Stroma
7597.569533334026	274.72405173498146	8585.3	7658.8	Stroma
-18672.985301242203	-1610.3855543157842	8787.9	7659.2	Immune
-18663.893395891882	-1549.081324761862	8511.5	7661.3	Stroma
-14154.196269797929	-904.0791378364793	8403.1	7659.8	Immune
-20633.07252779577	-1375.2144962979746	8574.0	7659.3	Immune
-12139.294869612182	-1747.41000993841	8433.6	7660.4	Stroma
-3491.076816828332	700.7975262928353	8681.4	7662.4	Stroma
-23796.462292472883	-1135.1142299368335	8748.9	7661.3	Stroma
12752.146322823704	-2036.546193401633	8446.6	7665.6	Stroma
-19048.758607290816	-1786.792222278024	8644.0	7659.0	Stroma
9219.413365406319	976.9747952934631	8502.0	7666.1	Stroma
-20932.532051600854	722.5982876866965	8707.6	7661.4	Stroma
-12555.92068176697	-1206.2879933352883	8614.3	7661.7	Stroma
7357.123958234057	-1478.163188669787	8667.9	7663.9	Stroma
33409.750837226486	-1193.7094173101686	8694.5	7663.7	Stroma
-20951.80605625707	-1884.9920918909684	8782.8	7664.5	Stroma
9665.670574607233	-369.825478322859	8631.4	7662.6	Stroma
-18362.94348437727	-2280.1219187425054	8649.8	7660.0	Immune
-5689.220547015844	-895.768582692298	8656.9	7662.2	Stroma
59583.935288724635	-2804.443547248326	8486.8	7670.5	Stroma
5569.5736428534365	-1040.9699492206728	8593.8	7668.6	Stroma
1307.529938806605	-891.3896663431124	8571.6	7666.4	Stroma
-910.0064464377065	383.10441168148964	8407.0	7669.4	Stroma
61981.60065365677	-1989.524922589239	8645.7	7669.2	Immune
-6326.1290209715335	-466.4822168779324	8616.3	7668.3	Stroma
-17009.74899169382	1393.860303192525	8703.1	7669.6	Stroma
-24587.244699066585	-929.072219437217	8750.3	7669.4	Stroma
-5038.750105182182	-1065.5517867688745	8454.3	7671.4	Stroma
-16664.684484562185	-885.7416182214135	8396.3	7668.2	Immune
-4088.768203802676	-910.0605270727285	8431.9	7671.7	Immune
-16058.471919706491	-629.4118352675787	8661.4	7670.5	Stroma
9362.586424273315	-1675.781172058566	8474.7	7669.9	Stroma
-19321.535773304822	-645.9588707377991	8768.5	7669.8	Stroma
-5343.139492772709	1355.780325362171	8682.7	7671.7	Stroma
267.44686915924103	-1427.3878307125146	8693.2	7672.5	Stroma
-22001.207760282883	-1540.0137642558811	8580.7	7669.5	Stroma
-23181.23199360558	41.21006454576627	8656.0	7670.5	Stroma
-17452.19903556135	-1958.4992212689885	8495.7	7671.8	Immune
99685.96988877137	-2902.0752279487706	8631.0	7674.1	Immune
-18397.507188914627	523.8607906072698	8804.5	7671.9	Stroma
-21383.57016120705	-1901.5520442484176	8577.8	7677.3	Stroma
31769.427821317426	-359.4308692366203	8502.1	7685.3	Stroma
-1508.7965971818048	1297.023189378221	8688.4	7679.0	Stroma
-17710.90133692133	-1732.3313985300274	8493.5	7676.7	Immune
-12671.138949640506	-1234.2507991379741	8587.6	7677.1	Stroma
-18726.481454165994	-735.2140023179111	8657.8	7678.3	Stroma
2316.0658344327094	2469.5630106676263	8542.8	7679.6	Stroma
17306.982169239236	2379.465119361601	8615.6	7679.6	Stroma
-4634.067027817684	-1435.1511460969048	8642.9	7678.5	Stroma
-15285.849587975135	-995.9637979006209	8668.9	7678.7	Stroma
-14072.009446947028	-994.2817132616385	8675.6	7676.3	Stroma
-10671.687076035978	-767.1623979265946	8794.3	7676.2	Stroma
-20666.18758786246	-1925.768220299772	8393.7	7677.0	Immune
-11174.554684309784	-379.2902533711349	8696.8	7681.3	Stroma
-10182.752068681388	-908.0080101790345	8777.3	7679.8	Stroma
103325.11106818116	-1546.5523973924169	8809.9	7682.4	Immune
-24111.59717422757	-294.12170863098436	8726.3	7680.4	Stroma
-20009.232275339262	-593.1658966836578	8432.2	7681.3	Immune
7987.232912122796	-1136.1804531061148	8490.8	7682.8	Stroma
134062.30478985346	-4203.274785496331	8653.0	7694.2	Immune
-10779.27379208211	1385.5104112823992	8685.7	7686.0	Stroma
14300.591183568918	-1200.0225347648475	8397.2	7685.6	Stroma
-7563.829555214401	-2045.266549855658	8442.7	7681.3	Immune
12258.340636060733	471.27052539172655	8668.3	7687.3	Stroma
-17590.524936692364	-853.0506632196023	8678.5	7685.7	Immune
-26366.073763116277	272.87540427354315	8702.0	7683.2	Stroma
-3032.8212249453863	364.6401558620105	8607.0	7686.1	Stroma
-5813.093969139765	-1685.7267387131478	8598.8	7685.5	Stroma
-15436.994654220794	-161.29044014451233	8660.4	7685.8	Stroma
-10408.336853931807	-1650.1717359022955	8783.9	7686.2	Stroma
-12064.715880946602	-1644.081658077432	8589.1	7686.8	Stroma
-21450.577148643268	-1915.769154161814	8416.1	7685.8	Stroma
-9807.300351081289	1119.8285829161769	8692.2	7690.3	Stroma
-3968.5594194938094	-727.7308085689381	8462.4	7687.7	Stroma
-6940.873536445546	-671.2001211942359	8484.3	7690.1	Stroma
11611.444209070869	7123.9064425116685	8747.5	7690.0	Stroma
-17139.468308471933	-1606.967339572669	8426.9	7687.6	Immune
-14623.524617672207	-1873.9422648685456	8440.5	7690.5	Immune
